NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,0,2,NA
2,0,0,0,0,NA
3,0,0,0,0,NA
4,0,1,0,0,NA
5,1,0,0,0,NA
6,1,1,0,0,NA
7,0,1,1,1,1
8,0,0,0,0,NA
9,1,0,0,0,NA
10,1,1,0,0,NA
11,0,1,0,0,NA
12,1,1,0,0,NA
13,1,1,0,0,NA
14,0,1,0,0,NA
15,0,0,0,0,NA
16,0,0,0,0,NA
17,0,1,0,0,NA
18,0,0,0,0,NA
19,1,1,0,0,NA
20,1,0,0,0,NA
21,0,1,0,0,NA
22,0,1,0,0,NA
23,0,1,0,0,NA
24,0,1,1,1,1
25,0,1,0,0,NA
26,1,1,0,0,NA
27,1,1,0,0,NA
28,0,1,0,0,NA
29,1,0,0,0,NA
30,1,1,0,0,NA
31,0,1,0,0,NA
32,1,0,0,0,NA
33,1,0,0,0,NA
34,1,1,0,0,NA
35,1,0,0,0,NA
36,1,1,0,0,NA
37,0,1,0,0,NA
38,0,1,0,0,NA
39,1,0,0,0,NA
40,1,0,0,0,NA
41,0,0,0,0,NA
42,1,1,0,0,NA
43,1,0,0,0,NA
44,1,1,0,0,NA
45,0,0,0,0,NA
46,0,1,0,0,NA
47,0,1,0,0,NA
48,1,1,0,0,NA
49,1,0,0,0,NA
50,0,0,0,0,NA
51,1,1,0,0,NA
